學年度,階段,學號,宿舍,房號
99,第一志願, 9828050,九宿舍,125
99,第一志願,9822029,九宿舍,126
99,第一志願, 9822030,九宿舍,126
99,第一志願, 9822054,九宿舍,126
99,第一志願, 9822055,九宿舍,126
99,第一志願,9722002,九宿舍,127
99,第一志願, 9722028,九宿舍,127
99,第一志願, 9722039,九宿舍,127
99,第一志願, 9722044,九宿舍,127
99,第一志願,9822001,九宿舍,128
99,第一志願, 9822020,九宿舍,128
99,第一志願, 9822026,九宿舍,128
99,第一志願, 9822034,九宿舍,128
99,第一志願,9816108,九宿舍,130
99,第一志願, 9828023,九宿舍,130
99,第一志願, 9828056,九宿舍,130
99,第一志願, 9828057,九宿舍,130
99,第一志願,9823015,九宿舍,133
99,第一志願, 9823046,九宿舍,133
99,第一志願, 9823072,九宿舍,133
99,第一志願, 9823084,九宿舍,133
99,第一志願,9717132,九宿舍,206
99,第一志願, 9717160,九宿舍,206
99,第一志願, 9717165,九宿舍,206
99,第一志願, 9717169,九宿舍,206
99,第一志願,9611053,九宿舍,207
99,第一志願, 9611056,九宿舍,207
99,第一志願, 9621013,九宿舍,207
99,第一志願, 9625007,九宿舍,207
99,第一志願,9825009,九宿舍,208
99,第一志願, 9825026,九宿舍,208
99,第一志願, 9825038,九宿舍,208
99,第一志願, 9825051,九宿舍,208
99,第一志願,9825008,九宿舍,209
99,第一志願, 9825013,九宿舍,209
99,第一志願, 9825016,九宿舍,209
99,第一志願, 9825036,九宿舍,209
99,第一志願,9718013,九宿舍,210
99,第一志願, 9718020,九宿舍,210
99,第一志願, 9718029,九宿舍,210
99,第一志願, 9718031,九宿舍,210
99,第一志願,9814010,九宿舍,212
99,第一志願, 9814038,九宿舍,212
99,第一志願, 9814060,九宿舍,212
99,第一志願, 9814101,九宿舍,212
99,第一志願,9616032,九宿舍,213
99,第一志願, 9616034,九宿舍,213
99,第一志願, 9716068,九宿舍,213
99,第一志願, 9716098,九宿舍,213
99,第一志願,9816084,九宿舍,214
99,第一志願, 9817015,九宿舍,214
99,第一志願, 9817122,九宿舍,214
99,第一志願, 9817263,九宿舍,214
99,第一志願,9817074,九宿舍,215
99,第一志願, 9817080,九宿舍,215
99,第一志願, 9817262,九宿舍,215
99,第一志願, 9831014,九宿舍,215
99,第一志願,9833026,九宿舍,216
99,第一志願, 9833043,九宿舍,216
99,第一志願, 9833047,九宿舍,216
99,第一志願, 9833050,九宿舍,216
99,第一志願,9833008,九宿舍,220
99,第一志願, 9833010,九宿舍,220
99,第一志願, 9833024,九宿舍,220
99,第一志願, 9833025,九宿舍,220
99,第一志願,9822004,九宿舍,221
99,第一志願, 9822007,九宿舍,221
99,第一志願, 9822008,九宿舍,221
99,第一志願, 9822032,九宿舍,221
99,第一志願,9824005,九宿舍,222
99,第一志願, 9824013,九宿舍,222
99,第一志願, 9824015,九宿舍,222
99,第一志願, 9824024,九宿舍,222
99,第一志願,9622003,九宿舍,224
99,第一志願, 9622040,九宿舍,224
99,第一志願, 9708006,九宿舍,224
99,第一志願, 9712069,九宿舍,224
99,第一志願,9822006,九宿舍,228
99,第一志願, 9822025,九宿舍,228
99,第一志願, 9822035,九宿舍,228
99,第一志願, 9822049,九宿舍,228
99,第一志願,9617194,九宿舍,229
99,第一志願, 9725011,九宿舍,229
99,第一志願, 9725038,九宿舍,229
99,第一志願, 9725047,九宿舍,229
99,第一志願,9822014,九宿舍,230
99,第一志願, 9822031,九宿舍,230
99,第一志願, 9822033,九宿舍,230
99,第一志願, 9822039,九宿舍,230
99,第一志願,9816005,九宿舍,232
99,第一志願, 9816058,九宿舍,232
99,第一志願, 9816071,九宿舍,232
99,第一志願, 9816111,九宿舍,232
99,第一志願,9821015,九宿舍,233
99,第一志願, 9824021,九宿舍,233
99,第一志願, 9824029,九宿舍,233
99,第一志願, 9824037,九宿舍,233
99,第一志願,9824001,九宿舍,302
99,第一志願, 9824003,九宿舍,302
99,第一志願, 9824022,九宿舍,302
99,第一志願, 9824023,九宿舍,302
99,第一志願,9825005,九宿舍,303
99,第一志願, 9825010,九宿舍,303
99,第一志願, 9825012,九宿舍,303
99,第一志願, 9825040,九宿舍,303
99,第一志願,9817170,九宿舍,304
99,第一志願, 9817174,九宿舍,304
99,第一志願, 9817183,九宿舍,304
99,第一志願, 9817257,九宿舍,304
99,第一志願,9811052,九宿舍,308
99,第一志願, 9816092,九宿舍,308
99,第一志願, 9817163,九宿舍,308
99,第一志願, 9823057,九宿舍,308
99,第一志願,9711031,九宿舍,311
99,第一志願, 9711088,九宿舍,311
99,第一志願, 9711098,九宿舍,311
99,第一志願, 9711112,九宿舍,311
99,第一志願,9825002,九宿舍,312
99,第一志願, 9825023,九宿舍,312
99,第一志願, 9825032,九宿舍,312
99,第一志願, 9825033,九宿舍,312
99,第一志願,9810002,九宿舍,313
99,第一志願, 9810009,九宿舍,313
99,第一志願, 9810010,九宿舍,313
99,第一志願, 9810027,九宿舍,313
99,第一志願,9816012,九宿舍,314
99,第一志願, 9816033,九宿舍,314
99,第一志願, 9816100,九宿舍,314
99,第一志願, 9816107,九宿舍,314
99,第一志願,9811066,九宿舍,315
99,第一志願, 9811076,九宿舍,315
99,第一志願, 9825021,九宿舍,315
99,第一志願, 9825047,九宿舍,315
99,第一志願,9817062,九宿舍,316
99,第一志願, 9817127,九宿舍,316
99,第一志願, 9817242,九宿舍,316
99,第一志願, 9817266,九宿舍,316
99,第一志願,9817042,九宿舍,317
99,第一志願, 9817049,九宿舍,317
99,第一志願, 9817052,九宿舍,317
99,第一志願, 9817056,九宿舍,317
99,第一志願,9710017,九宿舍,318
99,第一志願, 9817076,九宿舍,318
99,第一志願, 9817081,九宿舍,318
99,第一志願, 9828011,九宿舍,318
99,第一志願,9611090,九宿舍,319
99,第一志願, 9617007,九宿舍,319
99,第一志願, 9617149,九宿舍,319
99,第一志願, 9714086,九宿舍,319
99,第一志願,9714061,九宿舍,320
99,第一志願, 9725006,九宿舍,320
99,第一志願, 9725009,九宿舍,320
99,第一志願, 9817154,九宿舍,320
99,第一志願,9821003,九宿舍,321
99,第一志願, 9821010,九宿舍,321
99,第一志願, 9821025,九宿舍,321
99,第一志願, 9821112,九宿舍,321
99,第一志願,9816008,九宿舍,322
99,第一志願, 9816040,九宿舍,322
99,第一志願, 9816072,九宿舍,322
99,第一志願, 9816082,九宿舍,322
99,第一志願,9816025,九宿舍,323
99,第一志願, 9816041,九宿舍,323
99,第一志願, 9816065,九宿舍,323
99,第一志願, 9816087,九宿舍,323
99,第一志願,9622017,九宿舍,329
99,第一志願, 9622033,九宿舍,329
99,第一志願, 9622044,九宿舍,329
99,第一志願, 9622053,九宿舍,329
99,第一志願,9825003,九宿舍,330
99,第一志願, 9825025,九宿舍,330
99,第一志願, 9825035,九宿舍,330
99,第一志願, 9825053,九宿舍,330
99,第一志願,9823033,九宿舍,331
99,第一志願, 9823065,九宿舍,331
99,第一志願, 9823073,九宿舍,331
99,第一志願, 9823075,九宿舍,331
99,第一志願,9718003,九宿舍,333
99,第一志願, 9718016,九宿舍,333
99,第一志願, 9718038,九宿舍,333
99,第一志願, 9718051,九宿舍,333
99,第一志願,9854001,九宿舍,401
99,第一志願, 9854014,九宿舍,401
99,第一志願, 9854031,九宿舍,401
99,第一志願, 9854034,九宿舍,401
99,第一志願,9722022,九宿舍,402
99,第一志願, 9817186,九宿舍,402
99,第一志願, 9817249,九宿舍,402
99,第一志願, 9817260,九宿舍,402
99,第一志願,9621121,九宿舍,403
99,第一志願, 9718019,九宿舍,403
99,第一志願, 9718027,九宿舍,403
99,第一志願, 9718053,九宿舍,403
99,第一志願,9717089,九宿舍,404
99,第一志願, 9717121,九宿舍,404
99,第一志願, 9717139,九宿舍,404
99,第一志願, 9717197,九宿舍,404
99,第一志願,9817021,九宿舍,405
99,第一志願, 9817048,九宿舍,405
99,第一志願, 9817096,九宿舍,405
99,第一志願, 9817128,九宿舍,405
99,第一志願,9833017,九宿舍,406
99,第一志願, 9833020,九宿舍,406
99,第一志願, 9833049,九宿舍,406
99,第一志願, 9833058,九宿舍,406
99,第一志願,9722011,九宿舍,407
99,第一志願, 9722016,九宿舍,407
99,第一志願, 9722019,九宿舍,407
99,第一志願, 9722040,九宿舍,407
99,第一志願,9716108,九宿舍,408
99,第一志願, 9816047,九宿舍,408
99,第一志願, 9816050,九宿舍,408
99,第一志願, 9816062,九宿舍,408
99,第一志願,9822040,九宿舍,410
99,第一志願, 9822041,九宿舍,410
99,第一志願, 9822045,九宿舍,410
99,第一志願, 9822051,九宿舍,410
99,第一志願,9853016,九宿舍,411
99,第一志願, 9853019,九宿舍,411
99,第一志願, 9853039,九宿舍,411
99,第一志願, 9853046,九宿舍,411
99,第一志願,9822003,九宿舍,413
99,第一志願, 9822005,九宿舍,413
99,第一志願, 9822011,九宿舍,413
99,第一志願, 9822044,九宿舍,413
99,第一志願,9721131,九宿舍,415
99,第一志願, 9725023,九宿舍,415
99,第一志願, 9725027,九宿舍,415
99,第一志願, 9725042,九宿舍,415
99,第一志願,9823052,九宿舍,419
99,第一志願, 9823077,九宿舍,419
99,第一志願, 9823128,九宿舍,419
99,第一志願, 9823135,九宿舍,419
99,第一志願,9825004,九宿舍,421
99,第一志願, 9825017,九宿舍,421
99,第一志願, 9825024,九宿舍,421
99,第一志願, 9825029,九宿舍,421
99,第一志願,9824002,九宿舍,422
99,第一志願, 9824004,九宿舍,422
99,第一志願, 9824010,九宿舍,422
99,第一志願, 9824028,九宿舍,422
99,第一志願,9816103,九宿舍,423
99,第一志願, 9816109,九宿舍,423
99,第一志願, 9817206,九宿舍,423
99,第一志願, 9831053,九宿舍,423
99,第一志願,9725010,九宿舍,428
99,第一志願, 9725024,九宿舍,428
99,第一志願, 9725049,九宿舍,428
99,第一志願, 9725055,九宿舍,428
99,第一志願,9843013,九宿舍,430
99,第一志願, 9843016,九宿舍,430
99,第一志願, 9843023,九宿舍,430
99,第一志願, 9843038,九宿舍,430
99,第一志願,9816023,九宿舍,431
99,第一志願, 9816032,九宿舍,431
99,第一志願, 9816104,九宿舍,431
99,第一志願, 9816110,九宿舍,431
99,第一志願,9612111,十三宿,102
99,第一志願, 9712055,十三宿,102
99,第一志願, 9712089,十三宿,102
99,第一志願, 9712101,十三宿,102
99,第一志願,9817058,十三宿,103
99,第一志願, 9817124,十三宿,103
