學年度,階段,學號,宿舍,房號
102,第一志願, 0112254,女二舍,884
102,第一志願,0113305,女二舍,911
102,第一志願, 0113309,女二舍,911
102,第一志願, 0113319,女二舍,911
102,第一志願, 0113328,女二舍,911
102,第一志願,0113405,女二舍,913
102,第一志願, 0113413,女二舍,913
102,第一志願, 0113415,女二舍,913
102,第一志願, 0113423,女二舍,913
102,第一志願,0113318,女二舍,914
102,第一志願, 0113329,女二舍,914
102,第一志願, 0113353,女二舍,914
102,第一志願, 0113360,女二舍,914
102,第一志願,0119015,女二舍,921
102,第一志願, 0119018,女二舍,921
102,第一志願, 0119040,女二舍,921
102,第一志願, 0119046,女二舍,921
102,第一志願,0115404,女二舍,924
102,第一志願, 0115409,女二舍,924
102,第一志願, 0115413,女二舍,924
102,第一志願, 0115425,女二舍,924
102,第一志願,0115306,女二舍,941
102,第一志願, 0115322,女二舍,941
102,第一志願, 0115323,女二舍,941
102,第一志願, 0115348,女二舍,941
102,第一志願,0119001,女二舍,942
102,第一志願, 0119014,女二舍,942
102,第一志願, 0119036,女二舍,942
102,第一志願, 0119044,女二舍,942
102,第一志願,0110714,女二舍,951
102,第一志願, 0110715,女二舍,951
102,第一志願, 0110739,女二舍,951
102,第一志願, 0110763,女二舍,951
102,第一志願,0112033,女二舍,963
102,第一志願, 0112101,女二舍,963
102,第一志願, 0112109,女二舍,963
102,第一志願, 0112111,女二舍,963
102,第一志願,0112504,女二舍,972
102,第一志願, 0112517,女二舍,972
102,第一志願, 0112536,女二舍,972
102,第一志願, 0112553,女二舍,972
102,第一志願,0116038,女二舍,982
102,第一志願, 0116220,女二舍,982
102,第一志願, 0116235,女二舍,982
102,第一志願, 0116315,女二舍,982
102,第一志願,0115307,女二舍,984
102,第一志願, 0115340,女二舍,984
102,第一志願, 0115352,女二舍,984
102,第一志願, 0115353,女二舍,984
102,第一志願,0011307,女二舍,022
102,第一志願, 0111296,女二舍,022
102,第一志願, 0113254,女二舍,022
102,第一志願, 0116247,女二舍,022
102,第一志願,0111006,女二舍,023
102,第一志願, 0111017,女二舍,023
102,第一志願, 0111030,女二舍,023
102,第一志願, 0111032,女二舍,023
102,第一志願,0113303,女二舍,024
102,第一志願, 0113317,女二舍,024
102,第一志願, 0113325,女二舍,024
102,第一志願, 0113355,女二舍,024
102,第一志願,0117018,女二舍,031
102,第一志願, 0117019,女二舍,031
102,第一志願, 0117036,女二舍,031
102,第一志願, 0117045,女二舍,031
102,第一志願,0116033,女二舍,033
102,第一志願, 0116049,女二舍,033
102,第一志願, 0116207,女二舍,033
102,第一志願, 0116309,女二舍,033
102,第一志願,0110141,女二舍,041
102,第一志願, 0110153,女二舍,041
102,第一志願, 0110157,女二舍,041
102,第一志願, 0112541,女二舍,041
102,第一志願,0012512,女二舍,063
102,第一志願, 0112511,女二舍,063
102,第一志願, 0112515,女二舍,063
102,第一志願, 0112530,女二舍,063
102,第一志願,0113103,女二舍,064
102,第一志願, 0113107,女二舍,064
102,第一志願, 0113118,女二舍,064
102,第一志願, 0113138,女二舍,064
102,第一志願,0013104,女二舍,074
102,第一志願, 0013114,女二舍,074
102,第一志願, 0013118,女二舍,074
102,第一志願, 0013124,女二舍,074
102,第一志願,0115402,女二舍,082
102,第一志願, 0115410,女二舍,082
102,第一志願, 0115418,女二舍,082
102,第一志願, 0115421,女二舍,082
102,第二志願,0113101,十宿舍,101
102,第二志願, 0113113,十宿舍,101
102,第二志願, 0113121,十宿舍,101
102,第二志願, 0113125,十宿舍,101
102,第二志願,0110522,十宿舍,103
102,第二志願, 0111055,十宿舍,103
102,第二志願, 0112508,十宿舍,103
102,第二志願, 0115427,十宿舍,103
102,第二志願,0115401,十宿舍,105
102,第二志願, 0115428,十宿舍,105
102,第二志願, 0115432,十宿舍,105
102,第二志願, 0115436,十宿舍,105
102,第二志願,0111216,十宿舍,106
102,第二志願, 0111217,十宿舍,106
102,第二志願, 0111250,十宿舍,106
102,第二志願, 0111257,十宿舍,106
102,第二志願,0116008,十宿舍,107
102,第二志願, 0116066,十宿舍,107
102,第二志願, 0116208,十宿舍,107
102,第二志願, 0116214,十宿舍,107
102,第二志願,0111502,十宿舍,108
102,第二志願, 0111505,十宿舍,108
102,第二志願, 0111539,十宿舍,108
102,第二志願, 0111543,十宿舍,108
102,第二志願,0111201,十宿舍,109
102,第二志願, 0111203,十宿舍,109
102,第二志願, 0111265,十宿舍,109
102,第二志願, 0111279,十宿舍,109
102,第二志願,0113215,十宿舍,110
102,第二志願, 0113245,十宿舍,110
102,第二志願, 0115403,十宿舍,110
102,第二志願, 0115423,十宿舍,110
102,第二志願,0113418,十宿舍,111
102,第二志願, 0113419,十宿舍,111
102,第二志願, 0113421,十宿舍,111
102,第二志願, 0113429,十宿舍,111
102,第二志願,0113104,十宿舍,112
102,第二志願, 0113205,十宿舍,112
102,第二志願, 0119049,十宿舍,112
102,第二志願, 0119050,十宿舍,112
102,第二志願,0115407,十宿舍,114
102,第二志願, 0115422,十宿舍,114
102,第二志願, 0115434,十宿舍,114
102,第二志願, 0119030,十宿舍,114
102,第二志願,0010737,十宿舍,115
102,第二志願, 0010794,十宿舍,115
102,第二志願, 0010814,十宿舍,115
102,第二志願, 0010836,十宿舍,115
102,第二志願,0115315,十宿舍,116
102,第二志願, 0115318,十宿舍,116
102,第二志願, 0115319,十宿舍,116
102,第二志願, 0115346,十宿舍,116
102,第二志願,0110027,十宿舍,118
102,第二志願, 0110708,十宿舍,118
102,第二志願, 0110709,十宿舍,118
102,第二志願, 0110759,十宿舍,118
102,第二志願,0119023,十宿舍,119
102,第二志願, 0119025,十宿舍,119
102,第二志願, 0119028,十宿舍,119
102,第二志願, 0119039,十宿舍,119
102,第二志願,9933014,十宿舍,120
102,第二志願, 9933015,十宿舍,120
102,第二志願, 9954011,十宿舍,120
102,第二志願,0011113,十宿舍,121
102,第二志願, 0017055,十宿舍,121
102,第二志願, 0017056,十宿舍,121
